lfc_F,lfc_M,symbol
1.8386193152314292,0.4842728334548221,DACT1
3.8234309041505807,-0.977015076672871,ZNF205
2.01191655573636,0.6519478938487699,LGALS3
1.9797218260616773,-0.0816790623712711,AGTRAP
2.1863856249273717,-0.3342609314252441,SPINT1
-1.6027822091358344,-0.1206017533640499,TRGC1
1.8627910290032512,0.07830371385375975,C15orf39
2.93381340566872,0.26406828336647603,TST
1.966102086805317,-0.15671118325713562,WARS
1.8188096197512782,-0.03250261516721518,TLR1
2.493956972797555,-0.07086300176747845,SH2B2
2.439325441069546,-0.8036532327955586,TSHZ3
1.9405042480254373,0.08067394789206267,AP1S2
1.9409766441185328,0.027303539616562213,COL9A2
1.7941827943663182,0.22127031055754812,SDCBP
2.0569451938926187,-0.4074463269686462,CYFIP1
1.8556271159657298,0.2172117666061064,FMNL2
1.936655487894184,-0.15315741538133998,OGFRL1
1.8292669385302167,0.03805660792456343,ASAH1
3.177671816772488,0.06265398731355605,FFAR2
2.501953578231405,-0.10334963167436746,CDKN1A
2.014523781960464,0.11115797472327663,PYCARD
-1.240584034619595,-0.1253327144560682,CXCR3
2.2849969103580485,0.22974551134786236,CXXC5
-1.5812471353433675,-0.5184586678592035,EVC2
1.5050531515258023,-0.4080405899336651,VASH1
2.202154559307852,-0.08594354732368187,UBTD1
-1.2061139756336903,-1.0996332216757656,U2AF1L5
3.4325781307084444,1.5713254567582466,SIGLEC16
2.172990740901301,-0.003486435468844581,ADPRH
3.192041788185321,1.0499275049233376,UACA
1.9894679309244674,-0.16809198510340784,PLPPR2
2.936829472300301,-0.12438998438077126,CTD-2353F22.1
-1.4222499551041294,-0.4517202150836934,GBP5
2.709394668556163,0.18651977779072795,KIAA1522
2.6704236647028714,-0.5152805259784365,LRRC6
-1.2514659883969943,-0.6827543811743925,CRIP2
2.3230430653222114,0.005902599388029063,CXorf21
2.292302232640582,0.8284979631031664,RGS18
2.2280074458266395,-0.2671405498530489,SLC37A2
1.795151834774399,-0.2794726587607204,FOSL2
3.5447147249826885,-0.00975338101580231,PAPSS2
1.7368747190389242,0.09542241146998089,GNS
3.137186158846963,0.2304968578141616,ADM
2.647529185815725,-0.3662939041981953,TNS1
3.052507711580816,-2.843203735751543,RP11-107E5.3
1.7161609315183806,-0.023113464683232072,NADK
3.38322779486153,0.7920572482647497,ADORA2B
2.6469407773122606,-0.631431112553567,DOCK4
7.764778490132579,-0.16874334796794443,RP11-514P8.6
-1.1464255547187505,-0.4352629364811378,RP11-39E3.6
1.858717645033392,0.2658419457281407,ABCA1
2.644508582413826,0.2989510710818546,MPZL2
1.125083978030571,-0.00931219283677433,SNORD10
1.920898574589308,0.1498019615732891,CDK2AP1
2.6044417424571016,-0.2628381336525589,CDC42EP2
2.0106219149577487,-0.007073515899794504,KIAA0930
2.678481051390516,-0.1676840328185695,PSRC1
2.895101294587231,-0.903807961624469,MGAM
2.254548276409513,-0.41617653901469276,NLRP3
1.6917192314107619,0.043195381500678816,TBC1D2
2.135267875875379,-0.453537047936618,MMP25
1.8644218418972802,-0.7883699871443318,TLR6
1.0528315239193091,0.010440833394642787,SLC40A1
2.310756280343412,-0.34118906974768115,DDIAS
1.9271710982419323,-0.2947259457145246,ALDH2
1.8683546946415943,-0.28405831826275607,RP11-90D4.2
2.5084838058709313,-0.23344009256519738,ENC1
1.8540406365174262,-0.29704388998646336,LYST
2.1862572738454538,0.8827086575450831,EPHX1
2.2231759082156275,-0.31524424358598124,BCAT1
1.6402255940093364,-0.08633800037019555,FTH1
1.71047693643761,0.14183563908192076,DPYSL2
1.5569168846237922,0.4046404625474462,SLC16A5
-1.086745126380547,-0.12647215007177173,CH507-9B2.5
1.6105988975671908,0.18196353166882098,PPT1
2.5904424691401036,-3.447454249161664,AKAP12
1.7423252250001384,-0.29745834502141394,CAPG
-1.4272781440061555,-0.14892955404603953,HIST1H3G
1.8243057507548237,-0.010814686617880638,INAFM2
1.7963254106509934,-0.01867082944696394,TMTC2
1.9182578367314527,-0.05332680479019408,APOBEC3A
3.724517459935057,-0.38484759195957907,MS4A4A
2.1528373392251297,-0.08013752579478368,TOR4A
1.4403084659589425,-0.036600480276074814,C1orf162
-1.5096757498652091,-0.3242204138819352,HIST1H2AJ
-1.74029435895444,0.2007232585039644,PKD1P5
4.257375103671489,-0.6421986532263787,AC009506.1
1.84257054007496,-0.0879628380947939,DUSP1
2.624025192563054,-0.604828417176001,AMOTL1
1.796999077792483,0.2845869846850012,GRINA
4.533397471983023,0.8271944832644477,GPR84
5.9616358250301404,1.9407207247872091,MMP19
2.0630447265620537,0.06143335052924438,MPP1
1.4985903060252148,-0.1702115049062427,NOTCH2
1.6219828542651045,0.004078344257284432,MFSD1
1.568763316009296,-0.0845245341642684,CECR1
1.828071331748954,0.06233910938161229,UNC93B1
2.485206872870783,-2.8162259172953354,ASCL2
1.4852422789974589,0.7871825830657839,ACCS
2.7994862222373795,0.6819298928825157,STON2
4.788593166842178,1.031055508191809,CEACAM3
2.9377162195470317,0.43323997165658784,RP4-773A18.10
-1.4322796067360526,-0.48587853455771735,RP5-1174N9.2
-2.374435296200638,-1.0654250776250025,DUXAP10
1.9713065182228446,-0.40832721308986425,SLC27A3
1.7406629059122007,-0.07449612373168187,TALDO1
1.5993103610179482,0.003816254905000778,CASP1
2.0550676725614654,-1.8874016495314836,TMEM63C
1.8783411712808458,0.3705418179881461,FAM46A
1.6085555896340509,-0.16089851001030242,P2RX7
1.8160180786063636,0.2527089296748949,CMTM4
-2.0464243950837044,-0.09631757276290877,RP11-108M9.6
1.6307365134492542,-0.5232636213769175,OSBPL5
2.6415715214954396,0.4542932505011857,C10orf105
1.9976891080103765,1.3235880668170241,SASH1
